rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
185,frame_0180.jpg,72.0,0.3808,0.4724,0.4286,0.08,6,3,False,False
186,frame_0381.jpg,152.4,0.3798,0.5722,0.2857,0.04,7,2,False,False
187,frame_0225.jpg,90.0,0.3788,0.5541,0.2857,0.08,7,2,False,False
188,frame_0289.jpg,115.6,0.376,0.448,0.0,0.76,6,0,False,False
189,frame_0214.jpg,85.6,0.3751,0.4565,0.1429,0.52,2,1,False,False
190,frame_0333.jpg,133.2,0.3732,0.6287,0.1429,0.08,9,1,False,False
191,frame_0200.jpg,80.0,0.3705,0.3615,0.2857,0.52,2,2,False,False
192,frame_0168.jpg,67.2,0.3618,0.4138,0.1429,0.56,5,1,False,False
193,frame_0204.jpg,81.6,0.3618,0.3658,0.1429,0.68,2,1,False,False
194,frame_0122.jpg,48.8,0.3577,0.4753,0.0,0.6,4,0,False,False
195,frame_0394.jpg,157.6,0.3552,0.5926,0.1429,0.08,5,1,False,False
196,frame_0082.jpg,32.8,0.3551,0.3525,0.1429,0.68,3,1,False,False
197,frame_0088.jpg,35.2,0.3532,0.359,0.2857,0.44,5,2,False,False
198,frame_0181.jpg,72.4,0.3531,0.4331,0.4286,0.04,5,3,False,False
199,frame_0233.jpg,93.2,0.3522,0.437,0.2857,0.24,5,2,False,False
200,frame_0198.jpg,79.2,0.3516,0.5272,0.0,0.44,2,0,False,False
201,frame_0100.jpg,40.0,0.3508,0.5141,0.2857,0.04,4,2,False,False
202,frame_0205.jpg,82.0,0.3505,0.3273,0.1429,0.72,2,1,False,False
203,frame_0178.jpg,71.2,0.3473,0.4591,0.2857,0.16,6,2,False,False
204,frame_0269.jpg,107.6,0.3468,0.5062,0.2857,0.04,5,2,False,False
205,frame_0109.jpg,43.6,0.3462,0.489,0.2857,0.08,6,2,False,False
206,frame_0192.jpg,76.8,0.3446,0.4377,0.2857,0.2,5,2,False,False
207,frame_0193.jpg,77.2,0.3423,0.4172,0.2857,0.24,5,2,False,False
208,frame_0103.jpg,41.2,0.3413,0.4471,0.2857,0.16,5,2,False,False
209,frame_0172.jpg,68.8,0.3388,0.4318,0.1429,0.4,5,1,False,False
210,frame_0332.jpg,132.8,0.3385,0.4895,0.2857,0.04,8,2,False,False
211,frame_0223.jpg,89.2,0.3286,0.4218,0.2857,0.16,4,2,False,False
212,frame_0207.jpg,82.8,0.3281,0.2505,0.1429,0.8,2,1,False,False
213,frame_0218.jpg,87.2,0.3254,0.3353,0.2857,0.36,3,2,False,False
214,frame_0203.jpg,81.2,0.3226,0.3891,0.0,0.64,3,0,False,False
215,frame_0221.jpg,88.4,0.3212,0.4606,0.1429,0.24,5,1,False,False
216,frame_0213.jpg,85.2,0.319,0.3283,0.1429,0.56,4,1,False,False
217,frame_0104.jpg,41.6,0.3178,0.5018,0.1429,0.12,3,1,False,False
218,frame_0106.jpg,42.4,0.3153,0.4432,0.2857,0.04,7,2,False,False
219,frame_0222.jpg,88.8,0.3152,0.2933,0.4286,0.2,6,3,False,False
220,frame_0272.jpg,108.8,0.3119,0.4204,0.2857,0.08,4,2,False,False
221,frame_0371.jpg,148.4,0.31,0.4165,0.2857,0.08,8,2,False,False
222,frame_0175.jpg,70.0,0.3087,0.5054,0.0,0.28,5,0,False,False
223,frame_0372.jpg,148.8,0.3081,0.3968,0.2857,0.12,8,2,False,False
224,frame_0096.jpg,38.4,0.3053,0.4769,0.1429,0.12,7,1,False,False
225,frame_0183.jpg,73.2,0.3023,0.5029,0.1429,0.04,4,1,False,False
226,frame_0085.jpg,34.0,0.3006,0.2914,0.1429,0.56,6,1,False,False
227,frame_0226.jpg,90.4,0.2982,0.4089,0.2857,0.04,5,2,False,False
228,frame_0022.jpg,8.8,0.2946,0.1892,0.0,1.0,3,0,False,False
229,frame_0093.jpg,37.2,0.2938,0.4058,0.1429,0.24,4,1,False,False
230,frame_0271.jpg,108.4,0.2901,0.3927,0.2857,0.04,5,2,False,False
231,frame_0196.jpg,78.4,0.2858,0.3419,0.1429,0.36,2,1,False,False
232,frame_0391.jpg,156.4,0.2827,0.4636,0.1429,0.04,5,1,False,False
233,frame_0102.jpg,40.8,0.282,0.4303,0.1429,0.12,3,1,False,False
234,frame_0325.jpg,130.0,0.2792,0.3709,0.2857,0.04,4,2,False,False
235,frame_0091.jpg,36.4,0.2767,0.3396,0.1429,0.32,3,1,False,False
236,frame_0212.jpg,84.8,0.2712,0.2166,0.1429,0.6,3,1,False,False
237,frame_0324.jpg,129.6,0.2653,0.3272,0.2857,0.08,5,2,False,False
238,frame_0189.jpg,75.6,0.264,0.4103,0.1429,0.08,4,1,False,False
239,frame_0195.jpg,78.0,0.2635,0.3133,0.1429,0.32,5,1,False,False
240,frame_0086.jpg,34.4,0.2598,0.3115,0.0,0.52,4,0,False,False
241,frame_0090.jpg,36.0,0.2575,0.3709,0.0,0.36,6,0,False,False
242,frame_0224.jpg,89.6,0.2501,0.4523,0.0,0.12,4,0,False,False
243,frame_0314.jpg,125.6,0.2475,0.4631,0.0,0.08,5,0,False,False
244,frame_0092.jpg,36.8,0.2464,0.2951,0.1429,0.28,3,1,False,False
245,frame_0323.jpg,129.2,0.2457,0.3577,0.1429,0.12,6,1,False,False
246,frame_0310.jpg,124.0,0.244,0.2845,0.2857,0.08,5,2,False,False
247,frame_0313.jpg,125.2,0.2432,0.3847,0.1429,0.04,2,1,False,False
248,frame_0206.jpg,82.4,0.2387,0.1733,0.0,0.76,3,0,False,False
249,frame_0228.jpg,91.2,0.2359,0.37,0.1429,0.04,5,1,False,False
250,frame_0174.jpg,69.6,0.2038,0.2795,0.0,0.32,7,0,False,False
251,frame_0393.jpg,157.2,0.2036,0.3054,0.1429,0.04,4,1,False,False
252,frame_0119.jpg,47.6,0.2011,0.2102,0.0,0.48,4,0,False,False
253,frame_0101.jpg,40.4,0.1969,0.276,0.1429,0.08,5,1,False,False
254,frame_0282.jpg,112.8,0.1956,0.1992,0.0,0.48,4,0,False,False
255,frame_0199.jpg,79.6,0.195,0.198,0.0,0.48,1,0,False,False
256,frame_0197.jpg,78.8,0.1375,0.115,0.0,0.4,1,0,False,False
